Gamma300_meV,delta_xx_meV,config,g2_q,g2_p,t_x,eps,rho2
5.0,4.0,cav,0.15445874671621573,0.37503309749861735,0.3884834099122725,0.34348447141991095,0.95263048487234
5.0,4.5,cav,0.13487715584473237,0.31896080392933646,0.3884834099122725,0.27667791935674246,0.95263048487234
5.0,5.0,cav,0.1195813215932755,0.2739793803687517,0.3884834099122725,0.2258196335869087,0.95263048487234
5.0,5.5,cav,0.10760376846491015,0.23802722918863395,0.3884834099122725,0.18677254117076478,0.95263048487234
5.0,6.0,cav,0.09822180747499532,0.20941608413622204,0.3884834099122725,0.15664885472421275,0.95263048487234
5.0,6.5,cav,0.09076235910357533,0.18638429225480713,0.3884834099122725,0.13298011625368503,0.95263048487234
5.0,7.0,cav,0.08486368136571965,0.16799298353787584,0.3884834099122725,0.11443713526807897,0.95263048487234
5.0,7.5,cav,0.08007161250388106,0.1529354647908665,0.3884834099122725,0.0994838756818446,0.95263048487234
5.0,8.0,cav,0.07614270687398983,0.140512048546106,0.3884834099122725,0.08729735548168131,0.95263048487234
6.6,1.0,slit,nan,0.9637282777863339,0.4928765127789202,1.1648061226513866,0.23475862458507643
6.6,1.5,slit,nan,0.958872460796392,0.4928765127789202,1.1165564460934898,0.23475862458507643
6.6,2.0,slit,nan,0.9517122969299258,0.4928765127789202,1.0488580208418647,0.23475862458507643
6.6,2.5,slit,0.8302855622233635,0.9419519688961916,0.4928765127789202,0.9624750217453865,0.23475862458507643
6.6,3.0,slit,0.8245944645690497,0.9294399497797751,0.4928765127789202,0.8603483541085784,0.23475862458507643
6.6,3.5,slit,0.8182572007751883,0.9148560536146373,0.4928765127789202,0.7516347850018962,0.23475862458507643
6.6,4.0,slit,0.8116704487338625,0.898967191374402,0.4928765127789202,0.6437690715597861,0.23475862458507643
6.6,4.5,slit,0.8052926437913879,0.8828676879901423,0.4928765127789202,0.5438935881597696,0.23475862458507643
6.6,5.0,slit,0.7994312969497268,0.8674467728853308,0.4928765127789202,0.4557614714817449,0.23475862458507643
6.6,5.5,slit,0.7943958359284936,0.8537164474967133,0.4928765127789202,0.38265077911097695,0.23475862458507643
6.6,6.0,slit,0.7901478224135394,0.8417837289307338,0.4928765127789202,0.3227341048225523,0.23475862458507643
6.6,6.5,slit,0.7866289712921019,0.8316551242676857,0.4928765127789202,0.2742630336688529,0.23475862458507643
6.6,7.0,slit,0.7836938346866515,0.8230363235200036,0.4928765127789202,0.23460507231401276,0.23475862458507643
6.6,7.5,slit,0.7813069297249856,0.8159124579629716,0.4928765127789202,0.20285580357965,0.23475862458507643
6.6,8.0,slit,0.7793332566332146,0.8099436731995013,0.4928765127789202,0.17693373834807805,0.23475862458507643
6.6,1.0,cav,nan,0.8214458195155641,0.3586555478038654,1.0864104385460902,0.9469638780580725
6.6,1.5,cav,0.3230004236673739,0.7820453466726348,0.3586555478038654,0.9972443523112527,0.9469638780580725
6.6,2.0,cav,0.30100812000096067,0.7344451610741278,0.3586555478038654,0.8978884436903847,0.9469638780580725
6.6,2.5,cav,0.2768686006243869,0.6798418037664038,0.3586555478038654,0.7934709124948434,0.9469638780580725
6.6,3.0,cav,0.2515820430998088,0.6199895632299315,0.3586555478038654,0.6888784811449922,0.9469638780580725
6.6,3.5,cav,0.22654139629752035,0.5580274240022813,0.3586555478038654,0.5897406074550865,0.9469638780580725
6.6,4.0,cav,0.2028568204750133,0.4969376925426815,0.3586555478038654,0.49972170669625254,0.9469638780580725
6.6,4.5,cav,0.1814131115693104,0.43952856894408165,0.3586555478038654,0.42114238646611163,0.9469638780580725
6.6,5.0,cav,0.16265438124587994,0.387657961033108,0.3586555478038654,0.35453749575694643,0.9469638780580725
6.6,5.5,cav,0.14686098943842707,0.3427836267355735,0.3586555478038654,0.29992412577167427,0.9469638780580725
